N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
25,HMM,"18,580","하락
				320",-1.69%,"5,000","163,697","881,039",9.32,"1,183,553",4.12,4.59,
26,카카오,"36,500","하락
				50",-0.14%,100,"161,937","443,662",27.11,"1,158,275",-18.02,-10.26,
27,크래프톤,"333,500","하락
				1,500",-0.45%,100,"159,769","47,907",42.42,"90,965",20.06,11.16,
28,삼성SDI,"229,500","하락
				4,500",-1.92%,"5,000","157,815","68,765",35.76,"359,901",12.22,11.48,
29,HD현대일렉트릭,"389,000","하락
				8,000",-2.02%,"5,000","140,223","36,047",36.08,"100,796",27.43,27.71,
30,한화오션,"45,150","상승
				150",+0.33%,"5,000","138,346","306,413",18.84,"5,178,984",56.44,6.33,
31,LG전자,"84,300","하락
				1,500",-1.75%,"5,000","137,955","163,648",32.67,"461,183",19.63,3.69,
32,KT&G,"109,500","상승
				500",+0.46%,"5,000","137,272","125,362",44.62,"209,394",15.05,9.76,
33,한국전력,"20,150","하락
				250",-1.23%,"5,000","129,356","641,964",15.78,"961,203",3.49,-12.63,
34,두산에너빌리티,"20,100","상승
				100",+0.50%,"5,000","128,753","640,561",23.99,"7,508,895",157.03,0.78,
35,SK스퀘어,"91,200","하락
				3,600",-3.80%,100,"122,892","134,750",51.88,"265,541",7.34,-8.04,
36,SK텔레콤,"56,000","상승
				400",+0.72%,100,"120,282","214,790",42.02,"400,844",10.66,9.63,
37,기업은행,"14,690","상승
				40",+0.27%,"5,000","117,142","797,426",14.37,"816,877",4.26,8.79,
38,LG,"73,900",보합0,0.00%,"5,000","116,245","157,301",35.02,"148,443",12.43,4.89,
39,포스코퓨처엠,"149,400","하락
				1,500",-0.99%,500,"115,730","77,463",9.54,"256,981",-541.30,1.19,
40,우리금융지주,"15,560","상승
				60",+0.39%,"5,000","115,547","742,592",46.07,"1,657,749",4.26,8.30,
41,KT,"44,400","상승
				200",+0.45%,"5,000","111,898","252,022",49.00,"293,960",9.62,6.05,
42,유한양행,"137,700","상승
				3,700",+2.76%,"1,000","110,448","80,209",19.50,"2,136,415",66.81,6.74,
